"doc_id","central_bank","region","date","tier","doc_type","speaker","cleaned_text_file","character_count","sentence_count"
"boc_2020-01-09_speech","BOC","Canada","2020-01-09","1","speech","Stephen S Poloz","cleaned_docs/boc_2020-01-09_speech.txt","9292","81"
"boc_2020-01-22_policy_statement","BOC","Canada","2020-01-22","1","policy_statement","Bank of Canada","cleaned_docs/boc_2020-01-22_policy_statement.txt","3046","24"
"boc_2020-01-22_press_conference","BOC","Canada","2020-01-22","1","press_conference","Tiff Macklem","cleaned_docs/boc_2020-01-22_press_conference.txt","6353","47"
"boc_2020-01-30_speech","BOC","Canada","2020-01-30","1","speech","Paul Beaudry","cleaned_docs/boc_2020-01-30_speech.txt","43618","335"
"boc_2020-02-25_speech","BOC","Canada","2020-02-25","1","speech","Timothy Lane","cleaned_docs/boc_2020-02-25_speech.txt","19965","164"
"boc_2020-03-04_policy_statement","BOC","Canada","2020-03-04","1","policy_statement","Bank of Canada","cleaned_docs/boc_2020-03-04_policy_statement.txt","2748","23"
"boc_2020-03-05_speech","BOC","Canada","2020-03-05","1","speech","Stephen S Poloz","cleaned_docs/boc_2020-03-05_speech.txt","18517","163"
"boc_2020-04-15_policy_statement_bank_of_canada_5eff1bca","BOC","Canada","2020-04-15","1","policy_statement","Bank of Canada","cleaned_docs/boc_2020-04-15_policy_statement_bank_of_canada_5eff1bca.txt","4285","32"
"boc_2020-04-15_press_conference","BOC","Canada","2020-04-15","1","press_conference","Tiff Macklem","cleaned_docs/boc_2020-04-15_press_conference.txt","7989","57"
"boc_2020-04-30_speech","BOC","Canada","2020-04-30","1","speech","Stephen S Poloz","cleaned_docs/boc_2020-04-30_speech.txt","15705","135"
"boc_2020-05-20_speech","BOC","Canada","2020-05-20","1","speech","Timothy Lane","cleaned_docs/boc_2020-05-20_speech.txt","20450","171"
"boc_2020-05-25_speech","BOC","Canada","2020-05-25","1","speech","Stephen S Poloz","cleaned_docs/boc_2020-05-25_speech.txt","58263","475"
"boc_2020-06-03_policy_statement","BOC","Canada","2020-06-03","1","policy_statement","Bank of Canada","cleaned_docs/boc_2020-06-03_policy_statement.txt","3398","27"
"boc_2020-06-04_speech","BOC","Canada","2020-06-04","1","speech","Toni Gravelle","cleaned_docs/boc_2020-06-04_speech.txt","20031","176"
"boc_2020-06-16_speech","BOC","Canada","2020-06-16","1","speech","Tiff Macklem","cleaned_docs/boc_2020-06-16_speech.txt","13929","119"
"boc_2020-06-18_speech","BOC","Canada","2020-06-18","1","speech","Lawrence Schembri","cleaned_docs/boc_2020-06-18_speech.txt","37872","255"
"boc_2020-06-22_speech","BOC","Canada","2020-06-22","1","speech","Tiff Macklem","cleaned_docs/boc_2020-06-22_speech.txt","13660","131"
"boc_2020-07-15_policy_statement","BOC","Canada","2020-07-15","1","policy_statement","Bank of Canada","cleaned_docs/boc_2020-07-15_policy_statement.txt","4098","28"
"boc_2020-07-15_press_conference","BOC","Canada","2020-07-15","1","press_conference","Tiff Macklem","cleaned_docs/boc_2020-07-15_press_conference.txt","7268","61"
"boc_2020-08-25_speech","BOC","Canada","2020-08-25","1","speech","Lawrence Schembri","cleaned_docs/boc_2020-08-25_speech.txt","30168","219"
"boc_2020-08-26_speech","BOC","Canada","2020-08-26","1","speech","Carolyn Wilkins","cleaned_docs/boc_2020-08-26_speech.txt","10170","81"
"boc_2020-08-27_speech","BOC","Canada","2020-08-27","1","speech","Tiff Macklem","cleaned_docs/boc_2020-08-27_speech.txt","10631","95"
"boc_2020-09-09_policy_statement_bank_of_canada_5a134272","BOC","Canada","2020-09-09","1","policy_statement","Bank of Canada","cleaned_docs/boc_2020-09-09_policy_statement_bank_of_canada_5a134272.txt","3204","24"
"boc_2020-09-10_speech","BOC","Canada","2020-09-10","1","speech","Tiff Macklem","cleaned_docs/boc_2020-09-10_speech.txt","20477","169"
"boc_2020-10-08_speech","BOC","Canada","2020-10-08","1","speech","Tiff Macklem","cleaned_docs/boc_2020-10-08_speech.txt","17839","160"
"boc_2020-10-28_policy_statement","BOC","Canada","2020-10-28","1","policy_statement","Bank of Canada","cleaned_docs/boc_2020-10-28_policy_statement.txt","3357","29"
"boc_2020-10-28_press_conference","BOC","Canada","2020-10-28","1","press_conference","Tiff Macklem","cleaned_docs/boc_2020-10-28_press_conference.txt","7728","64"
"boc_2020-11-12_speech","BOC","Canada","2020-11-12","1","speech","Carolyn Wilkins","cleaned_docs/boc_2020-11-12_speech.txt","25659","250"
"boc_2020-11-17_speech","BOC","Canada","2020-11-17","1","speech","Tiff Macklem","cleaned_docs/boc_2020-11-17_speech.txt","9090","74"
"boc_2020-11-23_speech","BOC","Canada","2020-11-23","1","speech","Toni Gravelle","cleaned_docs/boc_2020-11-23_speech.txt","23746","167"
"boc_2020-11-26_policy_statement","BOC","Canada","2020-11-26","1","policy_statement","Bank of Canada","cleaned_docs/boc_2020-11-26_policy_statement.txt","11111","101"
"ecb_2020-12-09_policy_statement","ECB","Eurozone","2020-12-09","1","policy_statement","European Central Bank","cleaned_docs/ecb_2020-12-09_policy_statement.txt","1606","10"
"boc_2020-12-10_speech","BOC","Canada","2020-12-10","1","speech","Paul Beaudry","cleaned_docs/boc_2020-12-10_speech.txt","17297","153"
"boc_2020-12-15_speech","BOC","Canada","2020-12-15","1","speech","Tiff Macklem","cleaned_docs/boc_2020-12-15_speech.txt","22646","216"
"boc_2021-01-20_policy_statement","BOC","Canada","2021-01-20","1","policy_statement","Bank of Canada","cleaned_docs/boc_2021-01-20_policy_statement.txt","3822","27"
"boc_2021-01-20_press_conference","BOC","Canada","2021-01-20","1","press_conference","Tiff Macklem","cleaned_docs/boc_2021-01-20_press_conference.txt","7082","59"
"boc_2021-02-10_speech","BOC","Canada","2021-02-10","1","speech","Timothy Lane","cleaned_docs/boc_2021-02-10_speech.txt","21467","172"
"boc_2021-02-23_speech","BOC","Canada","2021-02-23","1","speech","Tiff Macklem","cleaned_docs/boc_2021-02-23_speech.txt","23038","220"
"boc_2021-03-10_policy_statement_bank_of_canada_500fde01","BOC","Canada","2021-03-10","1","policy_statement","Bank of Canada","cleaned_docs/boc_2021-03-10_policy_statement_bank_of_canada_500fde01.txt","3651","28"
"boc_2021-03-11_speech","BOC","Canada","2021-03-11","1","speech","Lawrence Schembri","cleaned_docs/boc_2021-03-11_speech.txt","21667","190"
"boc_2021-03-23_speech","BOC","Canada","2021-03-23","1","speech","Toni Gravelle","cleaned_docs/boc_2021-03-23_speech.txt","25784","192"
"boc_2021-04-21_policy_statement","BOC","Canada","2021-04-21","1","policy_statement","Bank of Canada","cleaned_docs/boc_2021-04-21_policy_statement.txt","4742","34"
"boc_2021-04-21_press_conference","BOC","Canada","2021-04-21","1","press_conference","Tiff Macklem","cleaned_docs/boc_2021-04-21_press_conference.txt","8346","68"
"boc_2021-05-13_speech","BOC","Canada","2021-05-13","1","speech","Tiff Macklem","cleaned_docs/boc_2021-05-13_speech.txt","19740","205"
"boc_2021-06-09_policy_statement","BOC","Canada","2021-06-09","1","policy_statement","Bank of Canada","cleaned_docs/boc_2021-06-09_policy_statement.txt","3644","28"
"boc_2021-07-14_policy_statement","BOC","Canada","2021-07-14","1","policy_statement","Bank of Canada","cleaned_docs/boc_2021-07-14_policy_statement.txt","4080","30"
"boc_2021-07-14_press_conference","BOC","Canada","2021-07-14","1","press_conference","Tiff Macklem","cleaned_docs/boc_2021-07-14_press_conference.txt","8758","68"
"boc_2021-09-08_policy_statement","BOC","Canada","2021-09-08","1","policy_statement","Bank of Canada","cleaned_docs/boc_2021-09-08_policy_statement.txt","2902","22"
"boc_2021-09-09_speech","BOC","Canada","2021-09-09","1","speech","Tiff Macklem","cleaned_docs/boc_2021-09-09_speech.txt","15893","135"
"boc_2021-10-07_speech","BOC","Canada","2021-10-07","1","speech","Tiff Macklem","cleaned_docs/boc_2021-10-07_speech.txt","18107","142"
"boc_2021-10-27_policy_statement","BOC","Canada","2021-10-27","1","policy_statement","Bank of Canada","cleaned_docs/boc_2021-10-27_policy_statement.txt","3607","27"
"boc_2021-10-27_press_conference","BOC","Canada","2021-10-27","1","press_conference","Tiff Macklem","cleaned_docs/boc_2021-10-27_press_conference.txt","8667","74"
