doc_id,central_bank,region,date,tier,doc_type,speaker,text_file,source_family,source_path
boc_2020-01-09_speech_stephen_s_poloz_5cec3899,BOC,Canada,2020-01-09,1,speech,Stephen S Poloz,boc/speech/boc_2020-01-09_speech_stephen_s_poloz_5cec3899.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-01-22_policy_statement_bank_of_canada_ba986e8c,BOC,Canada,2020-01-22,1,policy_statement,Bank of Canada,boc/policy_statement/boc_2020-01-22_policy_statement_bank_of_canada_ba986e8c.txt,central_bank_research,Central_Bank_Research_Data/boc/statement/2020-01-22_1018.txt
boc_2020-01-22_speech_stephen_s_poloz_907509d0,BOC,Canada,2020-01-22,1,speech,Stephen S Poloz,boc/speech/boc_2020-01-22_speech_stephen_s_poloz_907509d0.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-01-30_speech_paul_beaudry_bd67a8f5,BOC,Canada,2020-01-30,1,speech,Paul Beaudry,boc/speech/boc_2020-01-30_speech_paul_beaudry_bd67a8f5.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-02-25_speech_timothy_lane_ffcbcd0d,BOC,Canada,2020-02-25,1,speech,Timothy Lane,boc/speech/boc_2020-02-25_speech_timothy_lane_ffcbcd0d.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-03-04_policy_statement_bank_of_canada_4fcbaeeb,BOC,Canada,2020-03-04,1,policy_statement,Bank of Canada,boc/policy_statement/boc_2020-03-04_policy_statement_bank_of_canada_4fcbaeeb.txt,central_bank_research,Central_Bank_Research_Data/boc/statement/2020-03-04_1017.txt
boc_2020-03-05_speech_stephen_s_poloz_b24ed647,BOC,Canada,2020-03-05,1,speech,Stephen S Poloz,boc/speech/boc_2020-03-05_speech_stephen_s_poloz_b24ed647.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-04-15_policy_statement_bank_of_canada_5eff1bca,BOC,Canada,2020-04-15,1,policy_statement,Bank of Canada,boc/policy_statement/boc_2020-04-15_policy_statement_bank_of_canada_5eff1bca.txt,central_bank_research,Central_Bank_Research_Data/boc/statement/2020-04-15_1016.txt
boc_2020-04-15_speech_stephen_s_poloz_c3a540d6,BOC,Canada,2020-04-15,1,speech,Stephen S Poloz,boc/speech/boc_2020-04-15_speech_stephen_s_poloz_c3a540d6.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-04-30_speech_stephen_s_poloz_45101fb3,BOC,Canada,2020-04-30,1,speech,Stephen S Poloz,boc/speech/boc_2020-04-30_speech_stephen_s_poloz_45101fb3.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-05-20_speech_timothy_lane_b1c4ee61,BOC,Canada,2020-05-20,1,speech,Timothy Lane,boc/speech/boc_2020-05-20_speech_timothy_lane_b1c4ee61.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-05-25_speech_stephen_s_poloz_667db2ca,BOC,Canada,2020-05-25,1,speech,Stephen S Poloz,boc/speech/boc_2020-05-25_speech_stephen_s_poloz_667db2ca.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-06-03_policy_statement_bank_of_canada_5a600725,BOC,Canada,2020-06-03,1,policy_statement,Bank of Canada,boc/policy_statement/boc_2020-06-03_policy_statement_bank_of_canada_5a600725.txt,central_bank_research,Central_Bank_Research_Data/boc/statement/2020-06-03_1015.txt
boc_2020-06-04_speech_toni_gravelle_5dc80f18,BOC,Canada,2020-06-04,1,speech,Toni Gravelle,boc/speech/boc_2020-06-04_speech_toni_gravelle_5dc80f18.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-06-16_speech_tiff_macklem_679d9166,BOC,Canada,2020-06-16,1,speech,Tiff Macklem,boc/speech/boc_2020-06-16_speech_tiff_macklem_679d9166.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-06-18_speech_lawrence_schembri_4194658a,BOC,Canada,2020-06-18,1,speech,Lawrence Schembri,boc/speech/boc_2020-06-18_speech_lawrence_schembri_4194658a.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-06-22_speech_tiff_macklem_cc28d954,BOC,Canada,2020-06-22,1,speech,Tiff Macklem,boc/speech/boc_2020-06-22_speech_tiff_macklem_cc28d954.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-07-15_policy_statement_bank_of_canada_73b694fd,BOC,Canada,2020-07-15,1,policy_statement,Bank of Canada,boc/policy_statement/boc_2020-07-15_policy_statement_bank_of_canada_73b694fd.txt,central_bank_research,Central_Bank_Research_Data/boc/statement/2020-07-15_1014.txt
boc_2020-07-15_speech_tiff_macklem_24c978e8,BOC,Canada,2020-07-15,1,speech,Tiff Macklem,boc/speech/boc_2020-07-15_speech_tiff_macklem_24c978e8.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-08-25_speech_lawrence_schembri_850d512d,BOC,Canada,2020-08-25,1,speech,Lawrence Schembri,boc/speech/boc_2020-08-25_speech_lawrence_schembri_850d512d.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-08-26_speech_carolyn_wilkins_0a6bc037,BOC,Canada,2020-08-26,1,speech,Carolyn Wilkins,boc/speech/boc_2020-08-26_speech_carolyn_wilkins_0a6bc037.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-08-27_speech_tiff_macklem_159ec8e3,BOC,Canada,2020-08-27,1,speech,Tiff Macklem,boc/speech/boc_2020-08-27_speech_tiff_macklem_159ec8e3.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
boc_2020-09-09_policy_statement_bank_of_canada_5a134272,BOC,Canada,2020-09-09,1,policy_statement,Bank of Canada,boc/policy_statement/boc_2020-09-09_policy_statement_bank_of_canada_5a134272.txt,central_bank_research,Central_Bank_Research_Data/boc/statement/2020-09-09_1013.txt
boc_2020-09-10_speech_tiff_macklem_e71ed68b,BOC,Canada,2020-09-10,1,speech,Tiff Macklem,boc/speech/boc_2020-09-10_speech_tiff_macklem_e71ed68b.txt,bis_speeches_csv,speeches_2020/speeches_2020.csv
