ticker,fiscal_year,query_used,url,status,text_path,char_count,error,fetched_at_utc
MICROSOFT (MSFT),2020,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\MICROSOFT (MSFT)\FY2020.txt,56884,Transcript already exists; skipped re-scraping.,2026-04-13T00:27:47.722835+00:00
MICROSOFT (MSFT),2021,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\MICROSOFT (MSFT)\FY2021.txt,56585,Transcript already exists; skipped re-scraping.,2026-04-13T00:27:47.723550+00:00
MICROSOFT (MSFT),2022,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\MICROSOFT (MSFT)\FY2022.txt,58359,Transcript already exists; skipped re-scraping.,2026-04-13T00:27:47.724081+00:00
MICROSOFT (MSFT),2023,MICROSOFT (MSFT) FY23 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2023/07/25/microsoft-msft-q4-2023-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\MICROSOFT (MSFT)\FY2023.txt,61546,,2026-04-13T00:27:47.724388+00:00
MICROSOFT (MSFT),2024,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\MICROSOFT (MSFT)\FY2024.txt,57090,Transcript already exists; skipped re-scraping.,2026-04-13T00:28:49.702312+00:00
MICROSOFT (MSFT),2025,MICROSOFT (MSFT) FY25 earnings call transcript motley fool,https://www.fool.com/earnings/call-transcripts/2025/08/05/microsoft-msft-q4-2025-earnings-call-transcript/,ok,data\raw\earnings\motley_fool_transcripts\MICROSOFT (MSFT)\FY2025.txt,49870,,2026-04-13T00:28:49.703229+00:00
NVIDIA (NVDA),2020,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\NVIDIA (NVDA)\FY2020.txt,54197,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.936146+00:00
NVIDIA (NVDA),2021,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\NVIDIA (NVDA)\FY2021.txt,53594,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.938898+00:00
NVIDIA (NVDA),2022,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\NVIDIA (NVDA)\FY2022.txt,50994,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.939331+00:00
NVIDIA (NVDA),2023,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\NVIDIA (NVDA)\FY2023.txt,50685,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.939914+00:00
NVIDIA (NVDA),2024,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\NVIDIA (NVDA)\FY2024.txt,65658,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.940092+00:00
NVIDIA (NVDA),2025,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\NVIDIA (NVDA)\FY2025.txt,49565,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.940580+00:00
RTX (RTX),2020,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\RTX (RTX)\FY2020.txt,57978,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.940816+00:00
RTX (RTX),2021,,,skipped_existing,data\raw\earnings\motley_fool_transcripts\RTX (RTX)\FY2021.txt,58940,Transcript already exists; skipped re-scraping.,2026-04-13T00:32:00.941385+00:00
